openalex_id,issn,issn_l,is_in_doaj,is_core,publisher_id,publisher
S78388562,1874-2882,1874-2882,False,True,P4310320079,Bentham Science Publishers
S4210179990,1874-2912,1874-2912,False,True,P4310320079,Bentham Science Publishers
S128024142,1874-2971,1874-2971,False,True,P4310320079,Bentham Science Publishers
S192914267,1874-303X,1874-303X,False,True,P4310320079,Bentham Science Publishers
S58740271,1874-3064,1874-3064,False,True,P4310320079,Bentham Science Publishers
S56181510,1874-3099,1874-3099,False,True,P4310320079,Bentham Science Publishers
S35042648,1874-3129,1874-3129,False,True,P4310320079,Bentham Science Publishers
S74927972,1874-3188,1874-3188,False,True,P4310320079,Bentham Science Publishers
S183539149,1874-3218,1874-3218,False,True,,
S164360033,1874-3250,1874-3250,False,True,P4310320079,Bentham Science Publishers
S98054249,1874-3315,1874-3315,False,True,P4310320079,Bentham Science Publishers
S37292374,1874-3366,1874-3366,False,True,,
S1296839,1874-3439,1874-3439,False,True,,
S4210239838,1874-3471,1874-3471,False,True,P4310320079,Bentham Science Publishers
S161489405,1874-3501,1874-3501,False,True,P4310320079,Bentham Science Publishers
S136940034,1874-3579,1874-3579,False,True,,
S124467324,1874-3641,1874-3641,False,True,P4310320079,Bentham Science Publishers
S75707996,1874-3722,1874-3722,False,True,P4310320079,Bentham Science Publishers
S128802639,1874-3781,1874-3781,False,True,,
S4210232340,1874-3811,1874-3811,False,True,,
S140730854,1874-3870,1874-3870,False,True,,
S181697790,1874-3986,1874-3986,False,True,P4310320079,Bentham Science Publishers
S203353560,1874-401X,1874-401X,False,True,P4310320079,Bentham Science Publishers
S27627232,1874-4028,1874-4028,False,True,P4310320079,Bentham Science Publishers
S4210227568,1874-4079,1874-4079,False,True,P4310320079,Bentham Science Publishers
S201944902,1874-4281,1874-4281,False,True,P4310320079,Bentham Science Publishers
S720488,1874-4311,1874-4311,False,True,P4310320079,Bentham Science Publishers
S142201271,1874-4370,1874-4370,False,True,,
S155686663,1874-4400,1874-4400,False,True,P4310320079,Bentham Science Publishers
S85159623,1874-4478,1874-4478,False,True,P4310320079,Bentham Science Publishers
S193382896,1874-4508,1874-4508,False,True,P4310320079,Bentham Science Publishers
S178870449,1874-4532,1874-4532,False,True,P4310320079,Bentham Science Publishers
S173870981,1874-6136,1874-6136,False,True,P4310320079,Bentham Science Publishers
S197772748,1874-6209,1874-6209,False,True,P4310320079,Bentham Science Publishers
S4210173015,1874-8295,1874-8295,False,True,P4310320079,Bentham Science Publishers
S204812858,1874-8341,1874-8341,False,True,P4310320079,Bentham Science Publishers
S25993926,1874-835X,1874-835X,False,True,P4310320079,Bentham Science Publishers
S197259543,1874-8368,1874-8368,False,True,P4310320079,Bentham Science Publishers
S4210240556,1874-8376,1874-8376,False,True,P4310320079,Bentham Science Publishers
S190998125,1874-8384,1874-8384,False,True,P4310320079,Bentham Science Publishers
S2737953149,1874-9062,1874-9062,False,False,P4310318584,Jan Van Eyck Academie
S207983242,1874-916X,1874-916X,False,True,P4310320079,Bentham Science Publishers
S105095592,1874-9208,1874-9208,False,True,P4310320079,Bentham Science Publishers
S113649293,1874-9232,1874-9232,False,True,P4310320079,Bentham Science Publishers
S137895217,1874-9410,1874-9410,False,True,P4310320079,Bentham Science Publishers
S54668032,1874-9437,1874-9437,False,True,P4310320079,Bentham Science Publishers
S170533558,1874-9445,1874-9445,False,True,P4310320079,Bentham Science Publishers
S24280756,1874-9496,1874-9496,False,True,P4310320079,Bentham Science Publishers
S140661278,1875-0362,1875-0362,False,True,P4310320079,Bentham Science Publishers
S104431058,1875-0435,1875-0435,False,True,P4310320079,Bentham Science Publishers
S4210215717,1875-0443,1875-0443,False,True,P4310320079,Bentham Science Publishers
